                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1164,                0.94645,                 1.3157,                0.62178,                0.46096,                0.52562,                 0.3658,                 1.1762,                 1.0451,                 1.3414,             0.00033257,             0.00033257,             0.00033257
                      2,                 1.1409,                0.97732,                 1.3189,                0.57941,                0.46865,                0.50944,                0.35003,                  1.201,                 1.0865,                  1.351,             0.00065272,             0.00065272,             0.00065272
                      3,                 1.1318,                 1.0009,                 1.3232,                0.59963,                0.46252,                0.52319,                0.35434,                 1.1983,                 1.1046,                 1.3518,             0.00095967,             0.00095967,             0.00095967
                      4,                 1.1719,                  1.023,                 1.3423,                0.57923,                0.48357,                0.53025,                0.35868,                 1.2275,                 1.0817,                 1.3691,              0.0009406,              0.0009406,              0.0009406
                      5,                 1.1553,                 1.0184,                  1.336,                0.57144,                0.46378,                0.50455,                0.34044,                 1.2525,                 1.0895,                 1.3889,              0.0009406,              0.0009406,              0.0009406
                      6,                 1.1707,                 1.0276,                 1.3446,                0.58597,                0.44995,                0.51273,                0.34719,                 1.2227,                 1.1183,                 1.3658,              0.0009208,              0.0009208,              0.0009208
                      7,                 1.1524,                  1.018,                 1.3371,                0.57763,                0.46173,                0.50652,                0.34181,                 1.1906,                  1.129,                 1.3473,               0.000901,               0.000901,               0.000901
                      8,                 1.1657,                 1.0147,                 1.3374,                0.58454,                0.45697,                0.51361,                0.35074,                 1.2039,                 1.1387,                 1.3519,              0.0008812,              0.0008812,              0.0008812
                      9,                 1.1572,                 1.0157,                  1.329,                0.59993,                0.46013,                0.51516,                0.35049,                 1.2176,                 1.0975,                 1.3663,              0.0008614,              0.0008614,              0.0008614
                     10,                 1.1606,                 1.0268,                 1.3415,                0.57352,                0.46487,                0.51267,                0.35505,                 1.1775,                 1.0903,                 1.3315,              0.0008416,              0.0008416,              0.0008416
                     11,                 1.1703,                 1.0144,                 1.3377,                0.56767,                0.47423,                0.51034,                0.35162,                 1.1923,                  1.105,                  1.349,              0.0008218,              0.0008218,              0.0008218
                     12,                 1.1649,                 1.0168,                 1.3347,                0.59982,                0.47386,                0.52298,                0.35605,                  1.186,                  1.091,                 1.3438,               0.000802,               0.000802,               0.000802
                     13,                 1.1534,                 1.0025,                 1.3366,                0.56231,                0.48584,                 0.5173,                0.35244,                 1.2036,                 1.0713,                 1.3466,              0.0007822,              0.0007822,              0.0007822
                     14,                 1.1381,                0.99596,                 1.3273,                0.57181,                0.46679,                0.50261,                0.34128,                 1.2152,                 1.1174,                 1.3617,              0.0007624,              0.0007624,              0.0007624
                     15,                 1.1494,                  0.992,                 1.3302,                0.61732,                0.44772,                 0.5174,                0.35079,                  1.204,                  1.103,                 1.3448,              0.0007426,              0.0007426,              0.0007426
                     16,                 1.1415,                0.99217,                 1.3251,                 0.5842,                0.49122,                 0.5318,                0.35764,                 1.2149,                 1.0721,                 1.3452,              0.0007228,              0.0007228,              0.0007228
                     17,                 1.1609,                0.99442,                 1.3267,                0.62651,                0.46756,                0.53194,                0.36736,                 1.1807,                 1.0569,                 1.3303,               0.000703,               0.000703,               0.000703
                     18,                 1.1393,                0.98442,                 1.3288,                0.62455,                0.46761,                0.53218,                0.36167,                 1.2206,                 1.0566,                  1.358,              0.0006832,              0.0006832,              0.0006832
                     19,                 1.1453,                0.97085,                 1.3198,                0.58042,                0.49858,                0.53425,                0.36605,                 1.1852,                 1.0576,                 1.3375,              0.0006634,              0.0006634,              0.0006634
                     20,                 1.1323,                0.97362,                 1.3236,                0.60708,                0.48024,                0.53325,                 0.3673,                 1.1909,                 1.0667,                  1.337,              0.0006436,              0.0006436,              0.0006436
                     21,                 1.1402,                 0.9811,                 1.3219,                0.58547,                0.48447,                0.53385,                0.36589,                  1.204,                 1.0717,                 1.3491,              0.0006238,              0.0006238,              0.0006238
                     22,                 1.1384,                0.96454,                 1.3167,                0.60564,                0.47711,                0.53439,                0.36306,                  1.199,                 1.0386,                 1.3401,               0.000604,               0.000604,               0.000604
